Timepoint   	A           	B           	C           	    A/global_k2	    B/global_k2	    C/global_k2	    A/global_k1	    B/global_k1	    C/global_k1
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.999700e-01	2.999430e-05	5.249999e-09	0.000000e+00	-1.499452e-09	1.499452e-09	-9.999699e-05	9.997949e-05	1.749974e-08
1.010000e-02	9.969746e-01	2.972494e-03	5.287531e-05	-1.516155e-10	-1.493005e-05	1.493020e-05	-1.006929e-02	9.893220e-03	1.760726e-04
8.870655e-02	9.737422e-01	2.255727e-02	3.700578e-03	-8.862646e-08	-9.531150e-04	9.532036e-04	-8.636674e-02	7.414318e-02	1.222356e-02
2.724287e-01	9.215455e-01	5.024976e-02	2.820473e-02	-1.841112e-06	-5.860485e-03	5.862326e-03	-2.509753e-01	1.596737e-01	9.130166e-02
4.243471e-01	8.805134e-01	6.129776e-02	5.818881e-02	-5.354348e-06	-1.014300e-02	1.014836e-02	-3.734794e-01	1.884680e-01	1.850114e-01
5.808429e-01	8.401593e-01	6.646983e-02	9.337084e-02	-1.060936e-05	-1.363107e-02	1.364168e-02	-4.877403e-01	1.966113e-01	2.911290e-01
7.514972e-01	7.982625e-01	6.807226e-02	1.336652e-01	-1.757593e-05	-1.617803e-02	1.619560e-02	-5.995249e-01	1.919701e-01	4.075548e-01
9.416410e-01	7.540391e-01	6.722714e-02	1.787338e-01	-2.605601e-05	-1.771362e-02	1.773967e-02	-7.095525e-01	1.785664e-01	5.309861e-01
1.308091e+00	6.756054e-01	6.242844e-02	2.619661e-01	-4.225671e-05	-1.821575e-02	1.825801e-02	-8.830777e-01	1.447771e-01	7.383006e-01
1.663205e+00	6.073920e-01	5.676595e-02	3.358421e-01	-5.595929e-05	-1.724156e-02	1.729751e-02	-1.009391e+00	1.122512e-01	8.971395e-01
2.397967e+00	4.873353e-01	4.585801e-02	4.668067e-01	-7.596365e-05	-1.424744e-02	1.432340e-02	-1.167584e+00	5.753373e-02	1.110050e+00
3.100597e+00	3.947932e-01	3.727335e-02	5.679335e-01	-8.594208e-05	-1.161487e-02	1.170082e-02	-1.222973e+00	2.089972e-02	1.202073e+00
4.715655e+00	2.433022e-01	2.319076e-02	7.335071e-01	-8.777503e-05	-7.227477e-03	7.315252e-03	-1.146227e+00	-2.360978e-02	1.169837e+00
5.000000e+00	2.234264e-01	2.134288e-02	7.552307e-01	-8.626520e-05	-6.650877e-03	6.737142e-03	-1.116053e+00	-2.758148e-02	1.143635e+00


