Iteration   	global_k1   +	global_k_1  	global_k2   +	global_k_2  	SKAP        	DLEVF       
      0     	3.000000e-01	3.000000e-03	3.500000e+00	2.000000e-03	0.000000e+00	0.000000e+00
      1     	3.037888e-01	3.000000e-03	3.415609e+00	2.000000e-03	0.000000e+00	3.177957e-01
      2     	3.854962e-01	3.000000e-03	1.718252e+00	2.000000e-03	0.000000e+00	2.730040e-01
      3     	7.030051e-01	3.000000e-03	1.107159e+00	2.000000e-03	0.000000e+00	1.623701e-01
      4     	1.109083e+00	3.000000e-03	1.080796e+00	2.000000e-03	0.000000e+00	8.399167e-02
      5     	1.592430e+00	3.000000e-03	1.007654e+00	2.000000e-03	0.000000e+00	3.688472e-02
      6     	1.947278e+00	3.000000e-03	9.932333e-01	2.000000e-03	0.000000e+00	2.086585e-02
      7     	2.026226e+00	3.000000e-03	9.929065e-01	2.000000e-03	0.000000e+00	2.021366e-02
      8     	2.030442e+00	3.000000e-03	9.928934e-01	2.000000e-03	0.000000e+00	2.021198e-02
      9     	2.030540e+00	3.000000e-03	9.928924e-01	2.000000e-03	2.325087e-02	2.021198e-02
