# == Iter    0 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.999700e-01	2.999430e-05	5.249334e-09
1.010000e-02	9.969746e-01	2.972494e-03	5.287527e-05
8.621030e-02	9.744715e-01	2.202268e-02	3.505847e-03
1.768428e-01	9.483410e-01	3.841300e-02	1.324595e-02
2.752130e-01	9.207765e-01	5.052790e-02	2.869562e-02
3.817831e-01	8.918213e-01	5.894828e-02	4.923047e-02
4.981263e-01	8.612522e-01	6.432341e-02	7.442435e-02
6.251190e-01	8.290823e-01	6.719548e-02	1.037223e-01
7.631155e-01	7.954874e-01	6.808219e-02	1.364304e-01
9.137154e-01	7.603771e-01	6.746184e-02	1.721611e-01
1.079311e+00	7.235578e-01	6.571304e-02	2.107291e-01
1.263280e+00	6.847406e-01	6.311545e-02	2.521439e-01
1.470508e+00	6.435047e-01	5.985821e-02	2.966371e-01
1.708403e+00	5.992192e-01	5.604639e-02	3.447344e-01
1.989061e+00	5.508756e-01	5.169867e-02	3.974257e-01
2.591570e+00	4.598619e-01	4.331407e-02	4.968241e-01
3.863456e+00	3.141030e-01	2.977311e-02	6.561239e-01
4.960826e+00	2.260651e-01	2.158821e-02	7.523466e-01
5.000000e+00	2.234264e-01	2.134288e-02	7.552307e-01


# == Iter    1 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.999696e-01	3.037323e-05	5.187475e-09
1.010000e-02	9.969365e-01	3.011252e-03	5.226613e-05
8.741100e-02	9.737981e-01	2.263746e-02	3.564449e-03
1.796104e-01	9.469099e-01	3.957217e-02	1.351792e-02
2.796772e-01	9.185715e-01	5.210199e-02	2.932656e-02
3.880752e-01	8.888336e-01	6.081545e-02	5.035095e-02
5.063989e-01	8.574738e-01	6.637513e-02	7.615107e-02
6.355705e-01	8.245033e-01	6.933623e-02	1.061605e-01
7.758623e-01	7.901308e-01	7.022955e-02	1.396397e-01
9.288474e-01	7.542810e-01	6.955107e-02	1.761679e-01
1.096892e+00	7.167750e-01	6.769526e-02	2.155297e-01
1.283332e+00	6.773423e-01	6.495511e-02	2.577026e-01
1.492969e+00	6.355890e-01	6.153084e-02	3.028802e-01
1.733040e+00	5.909263e-01	5.753694e-02	3.515368e-01
2.015249e+00	5.424207e-01	5.300134e-02	4.045779e-01
2.616202e+00	4.519880e-01	4.433205e-02	5.036799e-01
3.908027e+00	3.053916e-01	3.015154e-02	6.644569e-01
5.000000e+00	2.192451e-01	2.181126e-02	7.589436e-01


# == Iter    2 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.999615e-01	3.854556e-05	3.311666e-09
1.010000e-02	9.961141e-01	3.852337e-03	3.354591e-05
8.284937e-02	9.685702e-01	2.928409e-02	2.145687e-03
2.866810e-01	8.954110e-01	8.221440e-02	2.237459e-02
4.585729e-01	8.380496e-01	1.107857e-01	5.116472e-02
6.387442e-01	7.818812e-01	1.295307e-01	8.858808e-02
8.344349e-01	7.251443e-01	1.406615e-01	1.341941e-01
1.048888e+00	6.676957e-01	1.452963e-01	1.870080e-01
1.279797e+00	6.109260e-01	1.445172e-01	2.445568e-01
1.527311e+00	5.554293e-01	1.396176e-01	3.049530e-01
