Timepoint    1                        SD
    1.00   60.647625760154448   8.9693917723321703E-006
    2.00   72.624033159876376   1.2572422520956678E-005
    3.00   83.517140824886269   1.1828886156774156E-005
    4.00   92.319085770268373   8.0717145070169466E-006
    5.00   98.017243582138491   2.6767517733807218E-006
    6.00   99.996951893788975   3.0481062110221668E-006
    7.00   98.027606237491099   7.8952431035957793E-006
    8.00   92.301695752124346   1.0766667255040649E-005
    9.00   83.535961107763200   1.0703083282355559E-005
   10.00   72.609840050957999   6.9733018327802578E-006
   11.00   60.652623544482495   7.2943844431594916E-007
