Timepoint   	E2          	SD          	P4          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	1.600000e+01	1.000000e+00	2.699999e-01	1.000000e+00	1.670000e+00	1.000000e+00	4.630000e+00	1.000000e+00
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.500000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	2.500001e+01	1.000000e+00	1.899999e-01	1.000000e+00	1.360000e+00	1.000000e+00	6.910000e+00	1.000000e+00
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.400000e+01	4.200009e+01	1.000000e+00	3.100001e-01	1.000000e+00	8.030000e+00	1.000000e+00	6.260000e+00	1.000000e+00
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	4.800002e+01	1.000000e+00	8.499998e-01	1.000000e+00	6.890000e+00	1.000000e+00	4.480000e+00	1.000000e+00
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	2.900000e+01	1.000000e+00	4.400001e-01	1.000000e+00	2.390000e+00	1.000000e+00	8.760000e+00	1.000000e+00
-1.300000e+01	3.599988e+01	1.000000e+00	2.099999e-01	1.000000e+00	2.460000e+00	1.000000e+00	8.650000e+00	1.000000e+00
-1.300000e+01	5.300001e+01	1.000000e+00	3.000000e-01	1.000000e+00	4.800000e+00	1.000000e+00	8.210000e+00	1.000000e+00
-1.300000e+01	2.700001e+01	1.000000e+00	3.299985e-01	1.000000e+00	4.460000e+00	1.000000e+00	8.830000e+00	1.000000e+00
-1.300000e+01	5.300001e+01	1.000000e+00	2.699999e-01	1.000000e+00	8.380000e+00	1.000000e+00	6.470000e+00	1.000000e+00
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	3.300005e+01	1.000000e+00	2.699999e-01	1.000000e+00	4.380000e+00	1.000000e+00	5.260000e+00	1.000000e+00
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	3.800004e+01	1.000000e+00	6.900006e-01	1.000000e+00	4.900000e+00	1.000000e+00	6.370000e+00	1.000000e+00
-1.200000e+01	6.399994e+01	1.000000e+00	3.599990e-01	1.000000e+00	5.280000e+00	1.000000e+00	6.800000e+00	1.000000e+00
