Timepoint   	P4          	SD          	E2          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	1.950000e+01	1.000000e+00	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	3.450000e+00	1.000000e+00
-1.600000e+01	1.439999e+00	1.000000e+00	3.200582e+01	1.000000e+00	7.110000e+00	1.000000e+00	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	4.540000e+00	1.000000e+00
-1.600000e+01	8.850003e-01	1.000000e+00	3.775325e+01	1.000000e+00	1.550000e+00	1.000000e+00	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	4.070000e+00	1.000000e+00
-1.600000e+01	1.130001e+00	1.000000e+00	4.505331e+01	1.000000e+00	5.750000e+00	1.000000e+00	6.340000e+00	1.000000e+00
-1.600000e+01	7.699987e-01	1.000000e+00	2.435167e+01	1.000000e+00	6.490000e+00	1.000000e+00	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	4.470000e+00	1.000000e+00
-1.600000e+01	7.100009e-01	1.000000e+00	2.751139e+01	1.000000e+00	5.170000e+00	1.000000e+00	9.600000e+00	1.000000e+00
-1.600000e+01	6.399999e-01	1.000000e+00	5.066454e+01	1.000000e+00	1.020000e+01	1.000000e+00	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.600000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
