Timepoint   	LH_pit      	LH_blood    	R_LH        	LH_R        	R_LH_des    	FSH_pit     	FSH_blood   	R_FSH       	FSH_R       	R_FSH_des   	S_foll      	AF1         	AF2         	AF3         	AF4         	PrF         	OvF         	Sc1         	Sc2         	Lut1        	Lut2        	Lut3        	Lut4        	E2          	P4          	InhA        	InhB        	InhA_tau    	GnRH_G      	R_GnRH_a    	R_GnRH_i    	GnRH_R_a    	GnRH_R_i    
-4.250000e+01	2.596960e+05	2.710000e+00	8.398000e+00	2.660000e-01	7.100000e-01	5.973400e+04	5.280000e+00	5.903000e+00	7.960000e-01	1.800000e+00	1.560000e-01	2.593000e+00	2.314000e+01	4.920000e-01	1.610000e-05	2.449000e-01	0.000000e+00	1.000000e-08	2.000000e-06	2.000000e-05	3.000000e-04	3.000000e-03	1.100000e-02	4.136000e+01	1.978000e+00	9.300000e-01	6.053000e+01	7.114000e+01	1.520000e-02	9.000000e-03	9.600000e-04	6.500000e-05	5.900000e-05
-4.249990e+01	2.596963e+05	2.710034e+00	8.398018e+00	2.659998e-01	7.099821e-01	5.973414e+04	5.280047e+00	5.902986e+00	7.959906e-01	1.800023e+00	1.560015e-01	2.593001e+00	2.314025e+01	4.920049e-01	1.610032e-05	2.449000e-01	1.412184e-21	9.998779e-09	1.999810e-06	1.999834e-05	2.999791e-04	2.999840e-03	1.099959e-02	4.135920e+01	1.977917e+00	9.299869e-01	6.053063e+01	7.113898e+01	1.520049e-02	8.999975e-03	9.599973e-04	6.502785e-05	5.900031e-05
-4.249835e+01	2.597005e+05	2.710609e+00	8.398274e+00	2.660062e-01	7.097202e-01	5.973627e+04	5.281092e+00	5.902775e+00	7.958722e-01	1.800352e+00	1.560254e-01	2.593023e+00	2.314415e+01	4.920801e-01	1.610526e-05	2.449001e-01	2.304369e-20	9.979910e-09	1.996867e-06	1.997270e-05	2.996567e-04	2.997361e-03	1.099318e-02	4.134691e+01	1.976641e+00	9.297834e-01	6.054037e+01	7.112325e+01	1.520823e-02	8.999737e-03	9.599564e-04	6.529850e-05	5.901330e-05
-4.249473e+01	2.597104e+05	2.711954e+00	8.398703e+00	2.660710e-01	7.092262e-01	5.974124e+04	5.284001e+00	5.902259e+00	7.957832e-01	1.800958e+00	1.560815e-01	2.593072e+00	2.315325e+01	4.922562e-01	1.611691e-05	2.449004e-01	7.213474e-20	9.935903e-09	1.989999e-06	1.991284e-05	2.989038e-04	2.991569e-03	1.097820e-02	4.131827e+01	1.973664e+00	9.293054e-01	6.056347e+01	7.108646e+01	1.522677e-02	8.999586e-03	9.598699e-04	6.549351e-05	5.906673e-05
-4.249131e+01	2.597197e+05	2.713022e+00	8.398932e+00	2.661621e-01	7.089055e-01	5.974590e+04	5.286375e+00	5.901724e+00	7.958544e-01	1.801421e+00	1.561348e-01	2.593119e+00	2.316187e+01	4.924228e-01	1.612818e-05	2.449007e-01	1.167130e-19	9.894463e-09	1.983525e-06	1.985639e-05	2.981934e-04	2.986101e-03	1.096404e-02	4.129135e+01	1.970862e+00	9.288506e-01	6.058554e+01	7.105168e+01	1.524441e-02	8.999522e-03	9.598018e-04	6.557861e-05	5.912369e-05
-4.248222e+01	2.597446e+05	2.715108e+00	8.399034e+00	2.663989e-01	7.085673e-01	5.975815e+04	5.291204e+00	5.900213e+00	7.962671e-01	1.802520e+00	1.562776e-01	2.593241e+00	2.318475e+01	4.928656e-01	1.615959e-05	2.449014e-01	2.269797e-19	9.785263e-09	1.966438e-06	1.970726e-05	2.963151e-04	2.971628e-03	1.092654e-02	4.122061e+01	1.963480e+00	9.276306e-01	6.064461e+01	7.095942e+01	1.529137e-02	8.999314e-03	9.596783e-04	6.578014e-05	5.928197e-05
-4.247368e+01	2.597680e+05	2.716545e+00	8.398807e+00	2.665652e-01	7.086280e-01	5.976947e+04	5.294908e+00	5.898824e+00	7.966681e-01	1.803508e+00	1.564134e-01	2.593355e+00	2.320626e+01	4.932825e-01	1.619062e-05	2.449021e-01	3.206794e-19	9.683714e-09	1.950509e-06	1.956808e-05	2.945601e-04	2.958085e-03	1.089137e-02	4.115502e+01	1.956617e+00	9.264682e-01	6.070036e+01	7.087281e+01	1.533563e-02	8.999052e-03	9.596230e-04	6.596863e-05	5.943684e-05
-4.246415e+01	2.597941e+05	2.717901e+00	8.398436e+00	2.667056e-01	7.088583e-01	5.978188e+04	5.298745e+00	5.897376e+00	7.970747e-01	1.804549e+00	1.565666e-01	2.593479e+00	2.323027e+01	4.937482e-01	1.622624e-05	2.449028e-01	4.148297e-19	9.571717e-09	1.932899e-06	1.941402e-05	2.926152e-04	2.943052e-03	1.085227e-02	4.108287e+01	1.949046e+00	9.251549e-01	6.076261e+01	7.077634e+01	1.538511e-02	8.998703e-03	9.596129e-04	6.617893e-05	5.961457e-05
-4.244160e+01	2.598563e+05	2.720823e+00	8.397491e+00	2.669731e-01	7.095363e-01	5.981037e+04	5.307535e+00	5.894235e+00	7.979811e-01	1.806784e+00	1.569366e-01	2.593766e+00	2.328715e+01	4.948531e-01	1.631276e-05	2.449046e-01	6.003672e-19	9.311770e-09	1.891848e-06	1.905412e-05	2.880619e-04	2.907763e-03	1.076019e-02	4.091599e+01	1.931460e+00	9.219804e-01	6.091011e+01	7.054853e+01	1.550273e-02	8.997722e-03	9.597307e-04	6.667767e-05	6.004881e-05
-4.242095e+01	2.599135e+05	2.723470e+00	8.396636e+00	2.672054e-01	7.101588e-01	5.983539e+04	5.315519e+00	5.891489e+00	7.988081e-01	1.808702e+00	1.572847e-01	2.594019e+00	2.333930e+01	4.958685e-01	1.639384e-05	2.449062e-01	7.329311e-19	9.079888e-09	1.855014e-06	1.873025e-05	2.839527e-04	2.875799e-03	1.067641e-02	4.076761e+01	1.915734e+00	9.189997e-01	6.104537e+01	7.034051e+01	1.561105e-02	8.996711e-03	9.599384e-04	6.713607e-05	6.045631e-05
-4.240126e+01	2.599684e+05	2.726043e+00	8.395817e+00	2.674304e-01	7.107526e-01	5.985831e+04	5.323128e+00	5.888897e+00	7.995992e-01	1.810504e+00	1.576248e-01	2.594251e+00	2.338908e+01	4.968397e-01	1.647263e-05	2.449078e-01	8.335882e-19	8.864217e-09	1.820568e-06	1.842655e-05	2.800892e-04	2.845641e-03	1.059704e-02	4.062982e+01	1.901054e+00	9.161011e-01	6.117445e+01	7.014275e+01	1.571479e-02	8.995696e-03	9.601811e-04	6.757469e-05	6.084964e-05
-4.238311e+01	2.600191e+05	2.728468e+00	8.395049e+00	2.676425e-01	7.113084e-01	5.987865e+04	5.330147e+00	5.886511e+00	8.003293e-01	1.812160e+00	1.579455e-01	2.594458e+00	2.343499e+01	4.977375e-01	1.654655e-05	2.449093e-01	9.088942e-19	8.669987e-09	1.789387e-06	1.815094e-05	2.765743e-04	2.818115e-03	1.052432e-02	4.050575e+01	1.887775e+00	9.133861e-01	6.129353e+01	6.996096e+01	1.581080e-02	8.994735e-03	9.604252e-04	6.798036e-05	6.121489e-05
-4.236657e+01	2.600656e+05	2.730727e+00	8.394335e+00	2.678401e-01	7.118250e-01	5.989654e+04	5.336557e+00	5.884335e+00	8.009956e-01	1.813670e+00	1.582442e-01	2.594641e+00	2.347690e+01	4.985584e-01	1.661510e-05	2.449106e-01	9.659075e-19	8.496591e-09	1.761419e-06	1.790316e-05	2.734070e-04	2.793239e-03	1.045838e-02	4.039490e+01	1.875861e+00	9.108782e-01	6.140223e+01	6.979557e+01	1.589866e-02	8.993846e-03	9.606575e-04	6.835144e-05	6.154966e-05
-4.235135e+01	2.601084e+05	2.732846e+00	8.393666e+00	2.680253e-01	7.123091e-01	5.991245e+04	5.342460e+00	5.882333e+00	8.016087e-01	1.815058e+00	1.585241e-01	2.594803e+00	2.351547e+01	4.993152e-01	1.667912e-05	2.449119e-01	1.010361e-18	8.340210e-09	1.736087e-06	1.767825e-05	2.705260e-04	2.770549e-03	1.039803e-02	4.029478e+01	1.865061e+00	9.085481e-01	6.150226e+01	6.964382e+01	1.597970e-02	8.993022e-03	9.608759e-04	6.869362e-05	6.185869e-05
-4.233709e+01	2.601487e+05	2.734867e+00	8.393027e+00	2.682020e-01	7.127710e-01	5.992691e+04	5.348000e+00	5.880456e+00	8.021838e-01	1.816361e+00	1.587911e-01	2.594951e+00	2.355165e+01	5.000262e-01	1.674001e-05	2.449130e-01	1.046305e-18	8.196254e-09	1.712675e-06	1.746998e-05	2.678529e-04	2.749444e-03	1.034174e-02	4.020243e+01	1.855065e+00	9.063455e-01	6.159609e+01	6.950187e+01	1.605585e-02	8.992244e-03	9.610834e-04	6.901513e-05	6.214923e-05
-4.232346e+01	2.601874e+05	2.736833e+00	8.392406e+00	2.683739e-01	7.132201e-01	5.994030e+04	5.353302e+00	5.878660e+00	8.027340e-01	1.817606e+00	1.590505e-01	2.595089e+00	2.358626e+01	5.007073e-01	1.679902e-05	2.449142e-01	1.076345e-18	8.060978e-09	1.690591e-06	1.727316e-05	2.653221e-04	2.729415e-03	1.028817e-02	4.011545e+01	1.845620e+00	9.042251e-01	6.168584e+01	6.936644e+01	1.612883e-02	8.991497e-03	9.612834e-04	6.932312e-05	6.242770e-05
-4.231025e+01	2.602250e+05	2.738771e+00	8.391794e+00	2.685433e-01	7.136627e-01	5.995291e+04	5.358452e+00	5.876917e+00	8.032680e-01	1.818815e+00	1.593062e-01	2.595219e+00	2.361985e+01	5.013693e-01	1.685703e-05	2.449153e-01	1.102088e-18	7.931927e-09	1.669447e-06	1.708438e-05	2.628904e-04	2.710125e-03	1.023643e-02	4.003224e+01	1.836558e+00	9.021563e-01	6.177295e+01	6.923533e+01	1.619975e-02	8.990770e-03	9.614786e-04	6.962242e-05	6.269840e-05
-4.229732e+01	2.602618e+05	2.740698e+00	8.391186e+00	2.687116e-01	7.141027e-01	5.996489e+04	5.363498e+00	5.875211e+00	8.037908e-01	1.819999e+00	1.595603e-01	2.595342e+00	2.365273e+01	5.020183e-01	1.691454e-05	2.449164e-01	1.124547e-18	7.807675e-09	1.649018e-06	1.690166e-05	2.605326e-04	2.691381e-03	1.018603e-02	3.995188e+01	1.827782e+00	9.001216e-01	6.185822e+01	6.910729e+01	1.626928e-02	8.990056e-03	9.616703e-04	6.991579e-05	6.296380e-05
-4.228460e+01	2.602982e+05	2.742621e+00	8.390578e+00	2.688797e-01	7.145420e-01	5.997632e+04	5.368466e+00	5.873531e+00	8.043053e-01	1.821163e+00	1.598138e-01	2.595460e+00	2.368507e+01	5.026577e-01	1.697183e-05	2.449174e-01	1.144403e-18	7.687417e-09	1.629176e-06	1.672390e-05	2.582348e-04	2.673074e-03	1.013668e-02	3.987384e+01	1.819235e+00	8.981122e-01	6.194211e+01	6.898162e+01	1.633778e-02	8.989353e-03	9.618595e-04	7.020472e-05	6.322526e-05
-4.227207e+01	2.603341e+05	2.744547e+00	8.389970e+00	2.690479e-01	7.149818e-01	5.998725e+04	5.373371e+00	5.871874e+00	8.048130e-01	1.822313e+00	1.600676e-01	2.595573e+00	2.371699e+01	5.032894e-01	1.702907e-05	2.449185e-01	1.162151e-18	7.570662e-09	1.609846e-06	1.655043e-05	2.559889e-04	2.655141e-03	1.008822e-02	3.979780e+01	1.810885e+00	8.961231e-01	6.202488e+01	6.885792e+01	1.640543e-02	8.988658e-03	9.620465e-04	7.049008e-05	6.348354e-05
-4.225969e+01	2.603697e+05	2.746478e+00	8.389361e+00	2.692166e-01	7.154227e-01	5.999773e+04	5.378224e+00	5.870236e+00	8.053150e-01	1.823449e+00	1.603220e-01	2.595681e+00	2.374853e+01	5.039146e-01	1.708633e-05	2.449196e-01	1.178170e-18	7.457078e-09	1.590978e-06	1.638083e-05	2.537893e-04	2.637541e-03	1.004053e-02	3.972353e+01	1.802708e+00	8.941516e-01	6.210669e+01	6.873593e+01	1.647238e-02	8.987970e-03	9.622317e-04	7.077240e-05	6.373911e-05
