Timepoint   	           1	           2	 00001/00001	 00002/00001	 00001/00002	 00002/00002	 00001/00003	 00002/00003
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	4.589612e-01	3.393912e-01	-1.719374e-01	1.802765e-01	-2.240564e-01	-1.250855e-01	1.025495e-01	-1.061553e-01
3.000000e+00	6.229053e-01	9.041374e-01	-3.214803e-01	3.612759e-01	-5.702027e-01	-5.969337e-01	3.921719e-01	-4.249338e-01
4.500000e+00	5.533918e-01	1.155487e+00	-2.999955e-01	3.778868e-01	-7.868166e-01	-1.168371e+00	5.850188e-01	-6.783551e-01
6.000000e+00	8.634905e-01	1.414316e+00	-3.770183e-01	4.931007e-01	-1.102533e+00	-1.741236e+00	6.854961e-01	-8.544145e-01
7.500000e+00	1.337275e+00	2.128436e+00	-6.225066e-01	7.984385e-01	-1.722081e+00	-2.638978e+00	9.752582e-01	-1.241453e+00
9.000000e+00	1.329102e+00	2.741173e+00	-6.957146e-01	9.535836e-01	-2.307396e+00	-3.868035e+00	1.330728e+00	-1.736697e+00
1.050000e+01	1.345285e+00	2.931764e+00	-6.444831e-01	9.817121e-01	-2.752165e+00	-5.058435e+00	1.461424e+00	-2.036946e+00
1.200000e+01	1.962539e+00	3.488405e+00	-8.570731e-01	1.281299e+00	-3.508486e+00	-6.363390e+00	1.625705e+00	-2.383735e+00
1.350000e+01	2.364337e+00	4.497310e+00	-1.130020e+00	1.675750e+00	-4.540835e+00	-8.185956e+00	2.072008e+00	-3.050240e+00
1.500000e+01	2.183441e+00	5.001716e+00	-1.083442e+00	1.764619e+00	-5.340798e+00	-1.021765e+01	2.403477e+00	-3.653746e+00
1.650000e+01	2.509995e+00	5.260820e+00	-1.097844e+00	1.906155e+00	-6.149785e+00	-1.212466e+01	2.477862e+00	-4.021349e+00
1.800000e+01	3.352862e+00	6.283220e+00	-1.468202e+00	2.428758e+00	-7.471675e+00	-1.440834e+01	2.807258e+00	-4.663430e+00
1.950000e+01	3.457644e+00	7.389795e+00	-1.644569e+00	2.796715e+00	-8.845478e+00	-1.728218e+01	3.361448e+00	-5.588765e+00
2.100000e+01	3.275874e+00	7.680487e+00	-1.495166e+00	2.835854e+00	-9.874461e+00	-2.011031e+01	3.564552e+00	-6.211873e+00
2.250000e+01	3.923105e+00	8.166089e+00	-1.644744e+00	3.169234e+00	-1.117281e+01	-2.286735e+01	3.635841e+00	-6.712882e+00
