Iteration   	global_p1   	global_p2   +	global_p3   	global_p4   +	global_p5   +	global_p6   +	global_p7   	global_p8   +	global_p9   +	global_p10  	global_p11  	global_p12  	global_p13  +	global_p14  	global_p15  	global_p16  +	global_p17  	global_p18  +	global_p19  +	global_p20  	global_p21  +	global_p22  	global_p23  	global_p24  	global_p25  +	global_p26  +	global_p27  	global_p28  	global_p29  	global_p30  	global_p31  	global_p32  	global_p33  	global_p34  	global_p35  	global_pH   	global_p39  	global_p40  	global_p41  	global_p42  	global_p43  	global_p44  +	global_p45  +	global_p46  +	global_p47  +	global_p48  +	global_p49  +	global_p50  +	SKAP        	DLEVF       
      0     	3.730000e+00	3.400000e+01	2.450000e+01	2.000000e-04	1.404000e+01	5.000000e-02	7.500000e+01	1.491000e+01	9.990000e+00	6.000000e+02	3.430000e+00	2.542000e+01	6.010000e+00	4.000000e+00	2.200000e+01	3.000000e+00	3.090000e-01	8.000000e-02	1.373000e-01	7.380000e+00	1.085000e-01	8.000000e+00	1.500000e+01	5.000000e+00	2.898000e-01	2.150000e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.200000e+00	3.000000e+00	8.540000e-02	1.000000e+00	1.500000e-02	9.850000e-01	7.000000e+00	0.000000e+00	0.000000e+00
      1     	3.730000e+00	3.399928e+01	2.450000e+01	2.000001e-04	1.404133e+01	4.999839e-02	7.500000e+01	1.491143e+01	9.991496e+00	6.000000e+02	3.430000e+00	2.542000e+01	6.009905e+00	4.000000e+00	2.200000e+01	3.000241e+00	3.090000e-01	7.999520e-02	1.373019e-01	7.380000e+00	1.085012e-01	8.000000e+00	1.500000e+01	5.000000e+00	2.899562e-01	2.149886e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.200049e+00	2.999971e+00	8.539016e-02	9.999726e-01	1.499814e-02	9.849215e-01	6.999851e+00	0.000000e+00	1.595653e+01
      2     	3.730000e+00	3.399213e+01	2.450000e+01	2.000006e-04	1.405469e+01	4.998233e-02	7.500000e+01	1.492579e+01	1.000647e+01	6.000000e+02	3.430000e+00	2.542000e+01	6.008951e+00	4.000000e+00	2.200000e+01	3.002656e+00	3.090000e-01	7.994718e-02	1.373214e-01	7.380000e+00	1.085129e-01	8.000000e+00	1.500000e+01	5.000000e+00	2.915178e-01	2.148743e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.200544e+00	2.999681e+00	8.529177e-02	9.996986e-01	1.497953e-02	9.841367e-01	6.998358e+00	0.000000e+00	1.594119e+01
      3     	3.730000e+00	3.392059e+01	2.450000e+01	2.000056e-04	1.418862e+01	4.982140e-02	7.500000e+01	1.506970e+01	1.015661e+01	6.000000e+02	3.430000e+00	2.542000e+01	5.999412e+00	4.000000e+00	2.200000e+01	3.026861e+00	3.090000e-01	7.946753e-02	1.375167e-01	7.380000e+00	1.086308e-01	8.000000e+00	1.500000e+01	5.000000e+00	3.071233e-01	2.137378e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.205499e+00	2.996775e+00	8.430745e-02	9.969620e-01	1.479366e-02	9.762725e-01	6.983440e+00	0.000000e+00	1.578820e+01
      4     	3.730000e+00	3.320451e+01	2.450000e+01	2.000503e-04	1.556987e+01	4.818322e-02	7.500000e+01	1.655194e+01	1.170431e+01	6.000000e+02	3.430000e+00	2.542000e+01	5.903478e+00	4.000000e+00	2.200000e+01	3.274757e+00	3.090000e-01	7.471077e-02	1.395317e-01	7.380000e+00	1.098483e-01	8.000000e+00	1.500000e+01	5.000000e+00	4.620731e-01	2.029671e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.255754e+00	2.967241e+00	7.442365e-02	9.699848e-01	1.295225e-02	8.958592e-01	6.834925e+00	0.000000e+00	1.430075e+01
      5     	3.730000e+00	2.934919e+01	2.450000e+01	2.002837e-04	1.168847e+01	3.819625e-02	7.500000e+01	9.601901e+00	2.409165e+01	6.000000e+02	3.430000e+00	2.542000e+01	5.323568e+00	4.000000e+00	2.200000e+01	4.450025e+00	3.090000e-01	7.464950e-02	1.343571e-01	7.380000e+00	1.140557e-01	8.000000e+00	1.500000e+01	5.000000e+00	1.970749e+00	1.870370e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.276038e+00	2.956391e+00	1.495292e-02	6.879600e-01	5.037812e-03	9.561183e-01	6.476578e+00	0.000000e+00	6.636293e+00
      6     	3.730000e+00	2.692977e+01	2.450000e+01	2.003009e-04	1.081190e+01	4.079202e-02	7.500000e+01	1.040592e+01	2.383805e+01	6.000000e+02	3.430000e+00	2.542000e+01	5.513572e+00	4.000000e+00	2.200000e+01	4.374982e+00	3.090000e-01	7.617503e-02	1.333683e-01	7.380000e+00	1.142120e-01	8.000000e+00	1.500000e+01	5.000000e+00	2.562855e+00	1.933321e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.278153e+00	2.954121e+00	6.804543e-03	6.440548e-01	3.906448e-03	1.012855e+00	6.970941e+00	0.000000e+00	3.779202e+00
      7     	3.730000e+00	2.924405e+01	2.450000e+01	2.003157e-04	1.168139e+01	3.110293e-02	7.500000e+01	9.313576e+00	2.275503e+01	6.000000e+02	3.430000e+00	2.542000e+01	4.632881e+00	4.000000e+00	2.200000e+01	4.185762e+00	3.090000e-01	7.744797e-02	1.345141e-01	7.380000e+00	1.132473e-01	8.000000e+00	1.500000e+01	5.000000e+00	2.051116e+00	1.892330e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.274672e+00	2.957521e+00	6.937701e-03	7.664623e-01	3.966454e-03	1.003187e+00	6.377586e+00	0.000000e+00	3.381420e+00
      8     	3.730000e+00	2.840795e+01	2.450000e+01	2.002827e-04	1.127655e+01	3.899050e-02	7.500000e+01	9.753198e+00	2.312827e+01	6.000000e+02	3.430000e+00	2.542000e+01	5.442314e+00	4.000000e+00	2.200000e+01	4.643176e+00	3.090000e-01	7.474210e-02	1.339765e-01	7.380000e+00	1.136009e-01	8.000000e+00	1.500000e+01	5.000000e+00	2.521634e+00	1.896911e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.275673e+00	2.956632e+00	6.916228e-03	7.275044e-01	3.927231e-03	1.015359e+00	6.622213e+00	0.000000e+00	3.311763e+00
      9     	3.730000e+00	2.875539e+01	2.450000e+01	2.002992e-04	1.134384e+01	3.144483e-02	7.500000e+01	9.254513e+00	2.277939e+01	6.000000e+02	3.430000e+00	2.542000e+01	4.693272e+00	4.000000e+00	2.200000e+01	4.426565e+00	3.090000e-01	7.623364e-02	1.340703e-01	7.380000e+00	1.131791e-01	8.000000e+00	1.500000e+01	5.000000e+00	2.094372e+00	1.881149e+00	5.950000e+00	1.100000e-03	3.000000e+00	9.500000e-01	3.500000e-01	8.000000e-01	2.000000e+00	1.121600e+00	2.236240e+00	0.000000e+00	1.135000e-02	0.000000e+00	7.312500e+02	4.500000e+00	1.000000e+01	1.277438e+00	2.955711e+00	6.968570e-03	7.475382e-01	3.943748e-03	1.011494e+00	6.550832e+00	0.000000e+00	3.316034e+00
