# == Iter    0 ==
Timepoint   	K_ECF       	K_ICF       	K_urin      	K_git       	K_tiss      	K_sal       	K_feed      	***         	***         	***         	Insulin     	s20         	s23         	s27         	***         	s29         	***         	***         	***         	***         	***         	s35         
5.000000e+00	3.430000e+00	2.542000e+01	0.000000e+00	3.073000e+00	1.509600e+03	4.340000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.200000e+01	1.405887e+02	3.000000e+00	6.250000e+01	0.000000e+00	3.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000100e+00	3.431112e+00	2.541967e+01	2.761166e-05	3.072927e+00	1.509600e+03	4.339897e-01	1.595642e-04	0.000000e+00	0.000000e+00	0.000000e+00	2.199970e+01	1.405950e+02	3.000388e+00	6.249465e+01	0.000000e+00	3.730023e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.283316e-03
5.002469e+00	3.457085e+00	2.541195e+01	6.867179e-04	3.071207e+00	1.509593e+03	4.337494e-01	3.937877e-03	0.000000e+00	0.000000e+00	0.000000e+00	2.199268e+01	1.407439e+02	3.009560e+00	6.236808e+01	0.000000e+00	3.730571e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.552414e-01
5.022376e+00	3.651792e+00	2.535613e+01	6.586348e-03	3.057124e+00	1.509541e+03	4.319082e-01	3.550660e-02	0.000000e+00	0.000000e+00	0.000000e+00	2.194034e+01	1.420018e+02	3.085611e+00	6.131764e+01	0.000000e+00	3.734921e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.413070e+00
5.042277e+00	3.816156e+00	2.531144e+01	1.310598e-02	3.043708e+00	1.509493e+03	4.303478e-01	6.675701e-02	0.000000e+00	0.000000e+00	0.000000e+00	2.189848e+01	1.432705e+02	3.159852e+00	6.029034e+01	0.000000e+00	3.738830e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.681754e+00
5.062456e+00	3.962157e+00	2.527319e+01	2.032154e-02	3.030774e+00	1.509448e+03	4.290114e-01	9.813740e-02	0.000000e+00	0.000000e+00	0.000000e+00	2.186486e+01	1.445683e+02	3.233348e+00	5.927155e+01	0.000000e+00	3.742362e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.979601e+00
5.082882e+00	4.094548e+00	2.523936e+01	2.822086e-02	3.018363e+00	1.509405e+03	4.278812e-01	1.295970e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.183824e+01	1.458938e+02	3.305963e+00	5.826325e+01	0.000000e+00	3.745512e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.305067e+00
5.103537e+00	4.216229e+00	2.520874e+01	3.679613e-02	3.006500e+00	1.509365e+03	4.269422e-01	1.611053e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.181748e+01	1.472460e+02	3.377612e+00	5.726672e+01	0.000000e+00	3.748281e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.657322e+00
5.124418e+00	4.329133e+00	2.518054e+01	4.604702e-02	2.995204e+00	1.509327e+03	4.261815e-01	1.926570e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.180154e+01	1.486252e+02	3.448271e+00	5.628240e+01	0.000000e+00	3.750672e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.036547e+00
5.145526e+00	4.434587e+00	2.515424e+01	5.597670e-02	2.984488e+00	1.509291e+03	4.255883e-01	2.242516e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.178951e+01	1.500318e+02	3.517928e+00	5.531055e+01	0.000000e+00	3.752689e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.443118e+00
5.166862e+00	4.533536e+00	2.512948e+01	6.659137e-02	2.974366e+00	1.509257e+03	4.251528e-01	2.558906e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.178058e+01	1.514662e+02	3.586574e+00	5.435139e+01	0.000000e+00	3.754337e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.087749e+01
5.188430e+00	4.626694e+00	2.510598e+01	7.790129e-02	2.964851e+00	1.509224e+03	4.248665e-01	2.875793e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.177406e+01	1.529290e+02	3.654211e+00	5.340502e+01	0.000000e+00	3.755623e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.234029e+01
5.210234e+00	4.714609e+00	2.508354e+01	8.991999e-02	2.955955e+00	1.509194e+03	4.247216e-01	3.193234e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.176934e+01	1.544209e+02	3.720840e+00	5.247154e+01	0.000000e+00	3.756550e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.383217e+01
5.232280e+00	4.797723e+00	2.506202e+01	1.026653e-01	2.947691e+00	1.509165e+03	4.247108e-01	3.511315e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.176590e+01	1.559426e+02	3.786467e+00	5.155097e+01	0.000000e+00	3.757125e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.535392e+01
5.254574e+00	4.876394e+00	2.504127e+01	1.161585e-01	2.940071e+00	1.509138e+03	4.248275e-01	3.830121e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.176328e+01	1.574951e+02	3.851098e+00	5.064335e+01	0.000000e+00	3.757355e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.690637e+01
5.277124e+00	4.950926e+00	2.502119e+01	1.304250e-01	2.933108e+00	1.509113e+03	4.250655e-01	4.149764e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.176110e+01	1.590792e+02	3.914744e+00	4.974864e+01	0.000000e+00	3.757243e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.849046e+01
5.299938e+00	5.021576e+00	2.500169e+01	1.454937e-01	2.926816e+00	1.509089e+03	4.254189e-01	4.470356e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.175903e+01	1.606959e+02	3.977415e+00	4.886684e+01	0.000000e+00	3.756796e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.010719e+01
5.323025e+00	5.088567e+00	2.498270e+01	1.613963e-01	2.921209e+00	1.509067e+03	4.258824e-01	4.792013e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.175679e+01	1.623463e+02	4.039118e+00	4.799794e+01	0.000000e+00	3.756020e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.175759e+01
5.346392e+00	5.152094e+00	2.496414e+01	1.781676e-01	2.916301e+00	1.509046e+03	4.264505e-01	5.114856e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.175412e+01	1.640314e+02	4.099865e+00	4.714194e+01	0.000000e+00	3.754920e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.344274e+01
5.370050e+00	5.212332e+00	2.494596e+01	1.958448e-01	2.912109e+00	1.509026e+03	4.271184e-01	5.439011e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.175084e+01	1.657525e+02	4.159663e+00	4.629885e+01	0.000000e+00	3.753501e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.516377e+01
5.394008e+00	5.269440e+00	2.492809e+01	2.144674e-01	2.908649e+00	1.509007e+03	4.278813e-01	5.764616e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.174676e+01	1.675106e+02	4.218523e+00	4.546867e+01	0.000000e+00	3.751770e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.692191e+01
5.418276e+00	5.323560e+00	2.491048e+01	2.340765e-01	2.905939e+00	1.508990e+03	4.287347e-01	6.091805e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.174175e+01	1.693071e+02	4.276452e+00	4.465141e+01	0.000000e+00	3.749731e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.871840e+01
5.442865e+00	5.374826e+00	2.489308e+01	2.547140e-01	2.903996e+00	1.508974e+03	4.296740e-01	6.420714e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.173569e+01	1.711432e+02	4.333457e+00	4.384713e+01	0.000000e+00	3.747391e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.055450e+01
5.467783e+00	5.423362e+00	2.487586e+01	2.764235e-01	2.902842e+00	1.508959e+03	4.306950e-01	6.751487e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.172848e+01	1.730203e+02	4.389546e+00	4.305587e+01	0.000000e+00	3.744754e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.243156e+01
5.493043e+00	5.469284e+00	2.485875e+01	2.992489e-01	2.902496e+00	1.508945e+03	4.317937e-01	7.084274e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.172004e+01	1.749397e+02	4.444726e+00	4.227768e+01	0.000000e+00	3.741826e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.435100e+01
5.518656e+00	5.512704e+00	2.484172e+01	3.232348e-01	2.902980e+00	1.508932e+03	4.329661e-01	7.419227e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.171031e+01	1.769030e+02	4.499002e+00	4.151263e+01	0.000000e+00	3.738613e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.631426e+01
5.544633e+00	5.553729e+00	2.482473e+01	3.484257e-01	2.904317e+00	1.508921e+03	4.342082e-01	7.756504e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.169924e+01	1.789116e+02	4.552380e+00	4.076081e+01	0.000000e+00	3.735121e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.832287e+01
5.570986e+00	5.592461e+00	2.480774e+01	3.748662e-01	2.906532e+00	1.508910e+03	4.355164e-01	8.096264e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.168679e+01	1.809671e+02	4.604866e+00	4.002233e+01	0.000000e+00	3.731355e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.037837e+01
