Timepoint    1       2       3
    0.00    0.96   -0.03   -0.01
    0.26    0.56    0.33    0.04
    0.53    0.34    0.51    0.16
    0.79    0.22    0.50    0.31
    1.05    0.12    0.43    0.45
    1.32    0.08    0.40    0.56
    1.58    0.03    0.30    0.65
    1.84    0.03    0.29    0.66
    2.11    0.02    0.22    0.75
    2.37    0.02    0.15    0.85
    2.63   -0.00    0.18    0.85
    2.89    0.01    0.12    0.89
    3.16   -0.02    0.08    0.94
    3.42    0.01    0.08    0.90
    3.68    0.02    0.06    0.94
    3.95    0.01    0.04    0.99
    4.21   -0.01    0.01    0.99
    4.47   -0.03    0.04    0.94
    4.74    0.00    0.04    0.97
    5.00   -0.02    0.03    0.99
