Iteration   	k1          +	k2          +	SKAP        	DLEVF       
      0     	3.000000e-01	3.500000e+00	0.000000e+00	0.000000e+00
      1     	3.037775e-01	3.415319e+00	0.000000e+00	3.175776e-01
      2     	3.849397e-01	1.718763e+00	0.000000e+00	2.728746e-01
      3     	7.014530e-01	1.102047e+00	0.000000e+00	1.624176e-01
      4     	1.109948e+00	1.077064e+00	0.000000e+00	8.355031e-02
      5     	1.592092e+00	1.003596e+00	0.000000e+00	3.676728e-02
      6     	1.943509e+00	9.893082e-01	0.000000e+00	2.102273e-02
      7     	2.022115e+00	9.889585e-01	0.000000e+00	2.037599e-02
      8     	2.026537e+00	9.889502e-01	0.000000e+00	2.037413e-02
      9     	2.026653e+00	9.889495e-01	2.617289e-02	2.037413e-02
