# == Iter    0 ==
Timepoint   	           1	           2	           3
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.999700e-01	2.999430e-05	5.249335e-09
1.010000e-02	9.969746e-01	2.972538e-03	5.287615e-05
8.627267e-02	9.744503e-01	2.203860e-02	3.511134e-03
1.769896e-01	9.482881e-01	3.844267e-02	1.326920e-02
2.754512e-01	9.206868e-01	5.056431e-02	2.874889e-02
3.821197e-01	8.916907e-01	5.898453e-02	4.932472e-02
4.985694e-01	8.610775e-01	6.435293e-02	7.456961e-02
6.256813e-01	8.288597e-01	6.721219e-02	1.039281e-01
7.638001e-01	7.952172e-01	6.808061e-02	1.367022e-01
9.145213e-01	7.600611e-01	6.743743e-02	1.725014e-01
1.080233e+00	7.231997e-01	6.566209e-02	2.111382e-01
1.264308e+00	6.843456e-01	6.303490e-02	2.526195e-01
1.471617e+00	6.430806e-01	5.974547e-02	2.971739e-01
1.709548e+00	5.987780e-01	5.589917e-02	3.453229e-01
1.990150e+00	5.504357e-01	5.151486e-02	3.980494e-01
2.592068e+00	4.594981e-01	4.306718e-02	4.974347e-01
3.864428e+00	3.136968e-01	2.940895e-02	6.568942e-01
4.961066e+00	2.257516e-01	2.116421e-02	7.530842e-01
5.000000e+00	2.231302e-01	2.091845e-02	7.559514e-01


# == Iter    5 ==
Timepoint   	           1	           2	           3
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.998408e-01	1.591885e-04	7.988392e-09
1.010000e-02	9.840485e-01	1.587075e-02	8.078800e-05
9.874511e-02	8.545235e-01	1.383208e-01	7.155707e-03
2.224099e-01	7.018068e-01	2.655044e-01	3.268875e-02
3.573436e-01	5.661343e-01	3.584584e-01	7.540733e-02
5.036030e-01	4.485288e-01	4.185918e-01	1.328794e-01
6.626942e-01	3.481680e-01	4.492674e-01	2.025646e-01
8.359793e-01	2.642245e-01	4.542950e-01	2.814805e-01
1.020866e+00	1.968500e-01	4.385723e-01	3.645777e-01
1.214949e+00	1.445238e-01	4.082594e-01	4.472169e-01
1.417964e+00	1.046086e-01	3.689193e-01	5.264721e-01
1.630121e+00	7.462324e-02	3.250151e-01	6.003617e-01
1.849916e+00	5.258965e-02	2.803243e-01	6.670860e-01
2.077842e+00	3.658505e-02	2.372141e-01	7.262008e-01
2.315538e+00	2.505831e-02	1.970481e-01	7.778936e-01
2.565074e+00	1.684275e-02	1.606023e-01	8.225549e-01
2.828901e+00	1.106607e-02	1.282711e-01	8.606628e-01
3.109930e+00	7.074244e-03	1.001897e-01	8.927360e-01
3.411690e+00	4.375546e-03	7.631189e-02	9.193126e-01
3.738580e+00	2.600207e-03	5.646081e-02	9.409390e-01
4.096273e+00	1.471249e-03	4.036417e-02	9.581646e-01
4.492369e+00	7.830887e-04	2.768024e-02	9.715367e-01
4.937542e+00	3.854798e-04	1.801907e-02	9.815955e-01
5.000000e+00	3.489925e-04	1.695961e-02	9.826914e-01


# == Iter   -1 ==
Timepoint   	           1	           2	           3
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.997974e-01	2.026348e-04	1.002028e-08
1.010000e-02	9.797389e-01	2.015993e-02	1.011954e-04
8.405145e-02	8.433754e-01	1.501146e-01	6.510038e-03
1.892164e-01	6.814884e-01	2.887560e-01	2.975553e-02
3.042280e-01	5.397957e-01	3.913479e-01	6.885640e-02
4.289335e-01	4.192451e-01	4.590607e-01	1.216941e-01
5.646955e-01	3.184016e-01	4.954619e-01	1.861365e-01
7.127171e-01	2.358804e-01	5.044773e-01	2.596423e-01
8.694470e-01	1.716895e-01	4.912631e-01	3.370473e-01
1.031214e+00	1.236979e-01	4.627919e-01	4.135102e-01
1.196876e+00	8.842045e-02	4.252477e-01	4.863318e-01
1.367088e+00	6.262365e-02	3.829938e-01	5.543825e-01
1.542923e+00	4.385052e-02	3.390062e-01	6.171433e-01
1.725684e+00	3.027714e-02	2.953003e-01	6.744226e-01
1.916897e+00	2.055018e-02	2.532297e-01	7.262201e-01
2.118344e+00	1.366184e-02	2.136920e-01	7.726462e-01
2.332122e+00	8.858281e-03	1.772672e-01	8.138745e-01
2.560745e+00	5.573450e-03	1.443101e-01	8.501164e-01
2.807299e+00	3.381548e-03	1.150099e-01	8.816085e-01
3.075698e+00	1.962820e-03	8.942931e-02	9.086079e-01
3.371080e+00	1.078688e-03	6.753077e-02	9.313905e-01
3.700491e+00	5.532998e-04	4.919562e-02	9.502511e-01
4.074098e+00	2.594926e-04	3.423883e-02	9.655017e-01
4.507582e+00	1.077924e-04	2.242137e-02	9.774708e-01
4.948305e+00	4.412449e-05	1.455016e-02	9.854057e-01
5.000000e+00	3.973556e-05	1.382927e-02	9.861310e-01


