Timepoint   	           1	           2	           3	     1/    2	     2/    2	     3/    2	     1/    1	     2/    1	     3/    1
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.999700e-01	2.999430e-05	5.249999e-09	0.000000e+00	-1.499453e-09	1.499453e-09	-9.999700e-05	9.997950e-05	1.749974e-08
1.010000e-02	9.969746e-01	2.972538e-03	5.287619e-05	0.000000e+00	-1.493045e-05	1.493045e-05	-1.006944e-02	9.893368e-03	1.760755e-04
8.875800e-02	9.737240e-01	2.257086e-02	3.705160e-03	0.000000e+00	-9.543187e-04	9.543187e-04	-8.642579e-02	7.418716e-02	1.223863e-02
2.726283e-01	9.214669e-01	5.028246e-02	2.825069e-02	0.000000e+00	-5.870012e-03	5.870012e-03	-2.512179e-01	1.597698e-01	9.144809e-02
4.246591e-01	8.803834e-01	6.132909e-02	5.828748e-02	0.000000e+00	-1.015965e-02	1.015965e-02	-3.738629e-01	1.885460e-01	1.853169e-01
5.812658e-01	8.399779e-01	6.648965e-02	9.353248e-02	0.000000e+00	-1.365270e-02	1.365270e-02	-4.882504e-01	1.966367e-01	2.916137e-01
7.520491e-01	7.980255e-01	6.807219e-02	1.339023e-01	0.000000e+00	-1.620172e-02	1.620172e-02	-6.001543e-01	1.919154e-01	4.082389e-01
9.423228e-01	7.537483e-01	6.719962e-02	1.790521e-01	0.000000e+00	-1.773542e-02	1.773542e-02	-7.102742e-01	1.784104e-01	5.318637e-01
1.308934e+00	6.752447e-01	6.234401e-02	2.624113e-01	0.000000e+00	-1.822569e-02	1.822569e-02	-8.838506e-01	1.444349e-01	7.394157e-01
1.663941e+00	6.070268e-01	5.663160e-02	3.363416e-01	0.000000e+00	-1.723620e-02	1.723620e-02	-1.010057e+00	1.117767e-01	8.982802e-01
2.397876e+00	4.870626e-01	4.564088e-02	4.672966e-01	0.000000e+00	-1.421183e-02	1.421183e-02	-1.167915e+00	5.690664e-02	1.111009e+00
3.099818e+00	3.945752e-01	3.698961e-02	5.684352e-01	0.000000e+00	-1.155352e-02	1.155352e-02	-1.223111e+00	2.019018e-02	1.202921e+00
4.713271e+00	2.431732e-01	2.279748e-02	7.340293e-01	0.000000e+00	-7.124212e-03	7.124212e-03	-1.146141e+00	-2.433457e-02	1.170476e+00
5.000000e+00	2.231302e-01	2.091845e-02	7.559514e-01	0.000000e+00	-6.537018e-03	6.537018e-03	-1.115651e+00	-2.832691e-02	1.143978e+00


